date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-28,20.73,20.79,20.17,20.14,272442.34,-0.31,-1.51,20.744,20.702,20.61,267441.14,186400.34,150808.36,3.4
2016-10-27,20.9,21.15,20.48,20.29,234208.55,-0.41,-1.96,20.826,20.803,20.646,230636.66,171939.33,142016.66,2.92
2016-10-26,21.49,21.57,20.89,20.76,256103.66,-0.55,-2.56,20.88,20.865,20.661,212932.95,160729.04,134946.78,3.19
2016-10-25,21.11,22.3,21.44,21.11,481653.84,0.7,3.38,20.834,20.901,20.661,176145.84,161759.61,129617.52,6.01
2016-10-24,20.56,20.75,20.74,20.45,92797.32,0.16,0.78,20.698,20.816,20.615,97804.46,122278.13,108837.67,1.16
2016-10-21,20.7,20.78,20.58,20.34,88419.91,-0.17,-0.82,20.66,20.799,20.602,105359.54,127809.67,107776.88,1.1
2016-10-20,20.67,20.91,20.75,20.32,145690.0,0.09,0.44,20.78,20.728,20.579,113242.0,127064.53,107608.06,1.82
2016-10-19,20.86,20.86,20.66,20.61,72168.14,-0.1,-0.48,20.85,20.664,20.556,108525.13,117900.83,104102.45,0.9
2016-10-18,20.51,20.83,20.76,20.46,89946.95,0.21,1.02,20.968,20.618,20.532,147373.37,116157.24,108634.4,1.12
2016-10-17,21.27,21.27,20.55,20.45,130572.7,-0.63,-2.98,20.934,20.571,20.552,146751.8,114914.19,112630.54,1.63
2016-10-14,21.02,21.38,21.18,20.93,127832.23,0.08,0.38,20.938,20.518,20.569,150259.81,115216.38,111939.73,1.59
2016-10-13,21.15,21.4,21.1,21.04,122105.62,-0.15,-0.71,20.676,20.489,20.554,140887.06,112093.98,114120.83,1.52
2016-10-12,20.5,21.47,21.25,20.42,266409.34,0.66,3.21,20.478,20.457,20.532,127276.53,109164.53,114281.69,3.32
2016-10-11,20.6,20.62,20.59,20.44,86839.11,0.02,0.1,20.268,20.42,20.493,84941.11,97475.44,106937.73,1.08
2016-10-10,20.0,20.75,20.57,19.99,148112.73,0.7,3.52,20.208,20.414,20.489,83076.58,95397.2,107378.76,1.85
2016-09-30,20.15,20.23,19.87,19.87,80968.49,-0.24,-1.19,20.098,20.405,20.499,80172.96,87744.08,105227.28,1.01
2016-09-29,20.1,20.28,20.11,20.09,54052.98,-0.09,-0.45,20.302,20.429,20.546,83300.9,88151.59,105409.59,0.67
2016-09-28,20.32,20.32,20.2,20.08,54732.25,-0.09,-0.44,20.436,20.448,20.575,91052.53,90304.07,109176.51,0.68
2016-09-27,19.96,20.29,20.29,19.96,77516.45,0.27,1.35,20.572,20.446,20.607,110009.76,101111.56,114627.9,0.97
2016-09-26,20.86,20.86,20.02,20.0,133594.61,-0.87,-4.17,20.62,20.532,20.608,107717.82,110346.89,114854.25,1.67
2016-09-23,20.85,20.96,20.89,20.75,96608.22,0.11,0.53,20.712,20.62,20.617,95315.2,108663.08,114672.16,1.2
2016-09-22,20.91,21.05,20.78,20.68,92811.14,-0.1,-0.48,20.556,20.618,20.608,93002.29,116147.69,113768.09,1.16
2016-09-21,20.6,20.98,20.88,20.47,149518.39,0.35,1.71,20.46,20.606,20.603,89555.61,119398.86,114639.23,1.86
2016-09-20,20.48,20.68,20.53,20.4,66056.75,0.05,0.24,20.32,20.566,20.602,92213.35,116400.01,112251.27,0.82
2016-09-19,20.14,20.5,20.48,20.14,71581.49,0.37,1.84,20.444,20.563,20.629,112975.96,119360.33,115593.28,0.89
2016-09-14,20.18,20.43,20.11,20.04,85043.66,-0.19,-0.94,20.528,20.593,20.672,122010.96,122710.49,119991.55,1.06
2016-09-13,20.4,20.48,20.3,20.2,75577.78,0.12,0.59,20.68,20.662,20.747,139293.09,122667.59,129638.24,0.94
2016-09-12,20.8,20.9,20.18,20.15,162807.06,-0.97,-4.59,20.752,20.702,20.791,149242.1,128048.95,134802.69,2.03
